,ID,dems,reps,
1,"9005432	",8,0,8
3,"1365291938581258241	",8,0,8
4,"1384920519875731463	",8,0,8
5,"1161510122465705994	",8,0,8
6,"1133196393173012481	",8,0,8
7,"1407428935613255682	",8,0,8
8,"1406783768950628356	",8,0,8
9,"84871798	",8,0,8
10,"872575817309663232	",8,0,8
11,"19123797	",8,0,8
16,"1102783999288791042	",8,0,8
17,"180057743	",8,0,8
22,"2951417750	",8,0,8
23,"1384341028078039042	",8,0,8
27,"1188106497017831426	",8,0,8
28,"1392539493190754304	",8,0,8
31,"1388968446545862656	",8,0,8
33,"3370871007	",8,0,8
35,"1386009909041434629	",8,0,8
38,"2408159124	",8,0,8
49,"1379199206771019779	",8,0,8
50,"1209119743254441984	",8,0,8
51,"82531588	",8,0,8
55,"32605502	",8,0,8
56,"1374097939400900617	",8,0,8
64,"2358299761	",8,0,8
65,"1220440458393833472	",8,0,8
73,"169893269	",8,0,8
74,"727624081411997696	",8,0,8
75,"1348695358440931331	",8,0,8
76,"1236502147979554816	",8,0,8
77,"345174674	",8,0,8
78,"381954645	",8,0,8
80,"76957653	",8,0,8
83,"1306580409497653250	",8,0,8
85,"1923145526	",8,0,8
87,"1236096200761204736	",8,0,8
88,"779112683899609088	",8,0,8
91,"1116797908764880896	",8,0,8
94,"1358967906286120966	",8,0,8
96,"1352429255360057347	",8,0,8
97,"1360933640662888448	",8,0,8
98,"2929303479	",8,0,8
99,"2764127424	",8,0,8
100,"1325190339439726593	",8,0,8
106,"1351409785678295042	",8,0,8
111,"58503762	",8,0,8
112,"148911879	",8,0,8
118,"1212280108469194752	",8,0,8
123,"1304868103801761794	",8,0,8
124,"1279484666777464833	",8,0,8
127,"439641912	",8,0,8
134,"1161658712	",8,0,8
135,"2584148397	",8,0,8
144,"1045389666210451457	",8,0,8
145,"1360049703077961734	",8,0,8
147,"66876520	",8,0,8
148,"3299968419	",8,0,8
150,"21414576	",8,0,8
152,"28123854	",8,0,8
155,"2743541	",8,0,8
158,"1357500390162399232	",8,0,8
159,"1254231502457647106	",8,0,8
162,"1264148526554103809	",8,0,8
164,"1353093625031266305	",8,0,8
173,"973747534593167360	",8,0,8
174,"184670090	",8,0,8
176,"1343640629587357698	",8,0,8
177,"1325264902110412800	",8,0,8
180,"259779095	",8,0,8
184,"1338401282869125121	",8,0,8
188,"27330200	",8,0,8
193,"1355195562379915264	",8,0,8
194,"1279857935942852608	",8,0,8
200,"487191570	",8,0,8
201,"1059705439712043008	",8,0,8
202,"938479923467087872	",8,0,8
203,"3436024588	",8,0,8
204,"762924596911714304	",8,0,8
206,"855909770057965573	",8,0,8
207,"32655131	",8,0,8
215,"2980429544	",8,0,8
221,"8890812	",8,0,8
222,"29457791	",8,0,8
223,"354431372	",8,0,8
226,"1193287659344584709	",8,0,8
228,"941754604118831105	",8,0,8
229,"1178076131754418180	",8,0,8
230,"4356069081	",8,0,8
231,"23557616	",8,0,8
232,"1281406375273345025	",8,0,8
234,"1313990718864551937	",8,0,8
239,"1079802482640019456	",8,0,8
250,"1348209763260121091	",8,0,8
258,"1349169469751320576	",8,0,8
260,"480875170	",8,0,8
263,"829743374907355136	",8,0,8
267,"1115936490524160000	",8,0,8
275,"1348034370272174088	",8,0,8
281,"774411643220398080	",8,0,8
285,"1318676887808266241	",8,0,8
286,"1205942269578219520	",8,0,8
287,"1231805512456400897	",8,0,8
288,"1320319307373445120	",8,0,8
292,"164697305	",8,0,8
296,"33637780	",8,0,8
297,"1029815549721751554	",8,0,8
308,"117002747	",8,0,8
311,"357535671	",8,0,8
312,"991109295084273665	",8,0,8
313,"402209086	",8,0,8
314,"621073601	",8,0,8
316,"1287115573931974660	",8,0,8
333,"2161488523	",8,0,8
335,"557437071	",8,0,8
337,"1093876249011867649	",8,0,8
339,"812951395917844481	",8,0,8
344,"1267082939835260928	",8,0,8
350,"4921157196	",8,0,8
351,"1275850932748771336	",8,0,8
357,"1047323186151530501	",8,0,8
360,"1231883634	",8,0,8
362,"963594761050492929	",8,0,8
364,"2896415674	",8,0,8
368,"898407630971977729	",8,0,8
369,"2442101143	",8,0,8
372,"1311313931839905795	",8,0,8
376,"49258239	",8,0,8
377,"972496100937617411	",8,0,8
379,"89068762	",8,0,8
381,"24404492	",8,0,8
383,"113003059	",8,0,8
387,"963938566068998145	",8,0,8
394,"439736125	",8,0,8
397,"1281012088966647808	",8,0,8
400,"796711112561594368	",8,0,8
402,"21908763	",8,0,8
404,"3827796682	",8,0,8
405,"940823977898934272	",8,0,8
407,"1388143952	",8,0,8
408,"3317164207	",8,0,8
412,"2397641382	",8,0,8
413,"161797179	",8,0,8
416,"1080222360643485698	",8,0,8
422,"2265634934	",8,0,8
428,"1695140762	",8,0,8
429,"931589060	",8,0,8
431,"261331800	",8,0,8
433,"948389532671578112	",8,0,8
439,"1193240211498647554	",8,0,8
440,"1018448949768802305	",8,0,8
441,"364415553	",8,0,8
445,"267151207	",8,0,8
447,"986975684038922242	",8,0,8
450,"1281507211215331329	",8,0,8
452,"1232081021643915264	",8,0,8
455,"395700994	",8,0,8
456,"896822652	",8,0,8
457,"824370532875436032	",8,0,8
461,"1272959586706874370	",8,0,8
462,"1275237500164820993	",8,0,8
466,"837059524892622850	",8,0,8
467,"4858957965	",8,0,8
468,"1109633999390019584	",8,0,8
471,"1243382089740738561	",8,0,8
473,"904347217783382021	",8,0,8
478,"1283190892162162689	",8,0,8
480,"1282495196270170112	",8,0,8
482,"304536071	",8,0,8
484,"394320812	",8,0,8
486,"1280859466469179393	",8,0,8
487,"947974398316859392	",8,0,8
489,"1272727034775564289	",8,0,8
491,"856322197832511488	",8,0,8
494,"1070015196633063424	",8,0,8
497,"829787368588603392	",8,0,8
499,"996374618	",8,0,8
500,"1526287706	",8,0,8
502,"706060437062692864	",8,0,8
503,"1246410256516857856	",8,0,8
506,"1252719223077588995	",8,0,8
507,"835939554054004736	",8,0,8
511,"822193020263075840	",8,0,8
512,"833384923675361281	",8,0,8
513,"250684785	",8,0,8
519,"1265111553977643008	",8,0,8
522,"529026605	",8,0,8
525,"841626696075886599	",8,0,8
526,"1261352499577053185	",8,0,8
527,"1177987198131429378	",8,0,8
529,"5875332	",8,0,8
532,"831544581330202625	",8,0,8
537,"1037116588615512064	",8,0,8
539,"241353564	",8,0,8
542,"4919898971	",8,0,8
543,"301138086	",8,0,8
547,"819767130023309312	",8,0,8
548,"740351899614871553	",8,0,8
549,"1212179593471262721	",8,0,8
555,"446892460	",8,0,8
556,"221169740	",8,0,8
558,"1234916507286532096	",8,0,8
560,"28853711	",8,0,8
562,"883542966475870208	",8,0,8
565,"1217087286959124481	",8,0,8
568,"1003107003693137921	",8,0,8
571,"1214631409161248768	",8,0,8
576,"1223320745054482432	",8,0,8
583,"90935739	",8,0,8
585,"872914171276521473	",8,0,8
588,"66514379	",8,0,8
589,"266391097	",8,0,8
594,"289002347	",8,0,8
596,"1208227944365207552	",8,0,8
597,"4149668714	",8,0,8
598,"870341633497288704	",8,0,8
600,"808346499289587712	",8,0,8
603,"885935827	",8,0,8
609,"989831863	",8,0,8
611,"112622376	",8,0,8
613,"209763044	",8,0,8
616,"713734701190479872	",8,0,8
617,"1038166503982546944	",8,0,8
618,"2158345946	",8,0,8
619,"2493374656	",8,0,8
620,"122280853	",8,0,8
621,"787506227483934720	",8,0,8
623,"720523703822524416	",8,0,8
624,"798534375084322816	",8,0,8
625,"1178859032586653698	",8,0,8
628,"214615758	",8,0,8
633,"416454925	",8,0,8
634,"807722773	",8,0,8
637,"1212939756885032970	",8,0,8
638,"752128000234229761	",8,0,8
640,"27673349	",8,0,8
642,"130134063	",8,0,8
644,"77092246	",8,0,8
650,"290980590	",8,0,8
653,"833766684968222720	",8,0,8
655,"1306106010	",8,0,8
660,"1038859633983741952	",8,0,8
662,"1323214644	",8,0,8
667,"852405083128070148	",8,0,8
670,"764761604	",8,0,8
671,"3363749087	",8,0,8
674,"339989496	",8,0,8
683,"737883941970006016	",8,0,8
686,"107038105	",8,0,8
689,"1184116927662301184	",8,0,8
690,"278287791	",8,0,8
691,"1186778043286769665	",8,0,8
694,"769757686233563136	",8,0,8
699,"2197653301	",8,0,8
700,"272703444	",8,0,8
707,"861611548250394624	",8,0,8
708,"779942534	",8,0,8
717,"1021144148114632711	",8,0,8
718,"19045362	",8,0,8
723,"104528948	",8,0,8
726,"369290210	",8,0,8
727,"839692420073709569	",8,0,8
729,"1080587263132733442	",8,0,8
730,"14629175	",8,0,8
735,"3364872145	",8,0,8
736,"1109155924722085888	",8,0,8
737,"72643108	",8,0,8
739,"1080875913926139910	",8,0,8
740,"1160568491306393600	",8,0,8
742,"36491229	",8,0,8
744,"16851297	",8,0,8
745,"1170024932950106113	",8,0,8
749,"825571755594915840	",8,0,8
750,"624205704	",8,0,8
753,"4876412900	",8,0,8
756,"1162779138740015104	",8,0,8
760,"1143389652667121678	",8,0,8
761,"764173675721465856	",8,0,8
763,"1153373963080388611	",8,0,8
765,"1155614454886862848	",8,0,8
772,"1151416469810536449	",8,0,8
775,"174683908	",8,0,8
780,"1142413923125202949	",8,0,8
783,"1111636173099663360	",8,0,8
784,"4364923707	",8,0,8
785,"1153803676487770112	",8,0,8
793,"1144779597793415168	",8,0,8
795,"1063916328443097089	",8,0,8
797,"192955168	",8,0,8
798,"701651360165588992	",8,0,8
803,"41126638	",8,0,8
806,"1001654556055494658	",8,0,8
813,"1564887031	",8,0,8
817,"252203999	",8,0,8
818,"834511028641624066	",8,0,8
824,"47374533	",8,0,8
827,"103025415	",8,0,8
828,"1481101687	",8,0,8
830,"465217309	",8,0,8
832,"4744426183	",8,0,8
833,"93309564	",8,0,8
834,"27493883	",8,0,8
836,"837400374428368900	",8,0,8
838,"2709836623	",8,0,8
840,"1257719485	",8,0,8
849,"835373689	",8,0,8
850,"365255153	",8,0,8
852,"14739250	",8,0,8
853,"1095300548436340739	",8,0,8
855,"14377605	",8,0,8
860,"888462978571526144	",8,0,8
863,"1080738159338520578	",8,0,8
866,"1119998754558341121	",8,0,8
867,"89829816	",8,0,8
869,"1287439184	",8,0,8
891,"797547199928422401	",8,0,8
893,"725303700835684354	",8,0,8
894,"19044158	",8,0,8
896,"218658092	",8,0,8
903,"518845264	",8,0,8
908,"112604693	",8,0,8
911,"1103002010406682624	",8,0,8
913,"1081662710092312577	",8,0,8
918,"2188519142	",8,0,8
922,"915002523584487424	",8,0,8
926,"17467699	",8,0,8
927,"748336809667489792	",8,0,8
933,"1001101255312228354	",8,0,8
936,"1069313461526634496	",8,0,8
938,"93035245	",8,0,8
939,"1320975812	",8,0,8
945,"67820004	",8,0,8
946,"2788688568	",8,0,8
947,"716813053	",8,0,8
952,"715566628138778624	",8,0,8
959,"1079769536730140672	",8,0,8
962,"989527676	",8,0,8
965,"588451126	",8,0,8
971,"971387237211533313	",8,0,8
973,"7743292	",8,0,8
983,"731470143444910080	",8,0,8
988,"86213867	",8,0,8
989,"862857312612044800	",8,0,8
991,"1080695666760929280	",8,0,8
994,"68898970	",8,0,8
997,"1037325069331169280	",8,0,8
1000,"2193135944	",8,0,8
1001,"41173731	",8,0,8
1003,"867581339746406401	",8,0,8
1004,"2591357336	",8,0,8
1005,"459565355	",8,0,8
1006,"106784613	",8,0,8
1012,"313467023	",8,0,8
1014,"817333964465729536	",8,0,8
1015,"920851175783542784	",8,0,8
1016,"201147289	",8,0,8
1018,"2828762322	",8,0,8
1021,"81939735	",8,0,8
1023,"22185506	",8,0,8
1025,"1059495656	",8,0,8
1026,"20288735	",8,0,8
1028,"16276307	",8,0,8
1031,"803593153521582080	",8,0,8
1033,"1240681	",8,0,8
1036,"900915316464766977	",8,0,8
1038,"2169122401	",8,0,8
1041,"563842752	",8,0,8
1042,"256600333	",8,0,8
1047,"980941320758988801	",8,0,8
1048,"755096123954651136	",8,0,8
1050,"1058862840486879232	",8,0,8
1051,"735515621165793280	",8,0,8
1052,"887507012795252736	",8,0,8
1053,"1056634891901767680	",8,0,8
1056,"1016423469062545409	",8,0,8
1059,"365444515	",8,0,8
1061,"580073682	",8,0,8
1065,"3670252994	",8,0,8
1074,"957775598062940160	",8,0,8
1076,"369248936	",8,0,8
1077,"14296270	",8,0,8
1078,"15684851	",8,0,8
1080,"2329812913	",8,0,8
1083,"975417232741330945	",8,0,8
1084,"2429763276	",8,0,8
1086,"1579639148	",8,0,8
1093,"929428645	",8,0,8
1095,"24870490	",8,0,8
1097,"242921623	",8,0,8
1104,"1022244468089606144	",8,0,8
1106,"2384589829	",8,0,8
1108,"1201759052	",8,0,8
1109,"17324944	",8,0,8
1114,"825717235977068545	",8,0,8
1115,"1042513408376139776	",8,0,8
1119,"1032653585148870657	",8,0,8
1121,"266170473	",8,0,8
1122,"48912281	",8,0,8
1123,"21892405	",8,0,8
1125,"26813767	",8,0,8
1133,"11829512	",8,0,8
1141,"28711359	",8,0,8
1142,"1033486659017265152	",8,0,8
1148,"1008833426261147650	",8,0,8
1149,"23014642	",8,0,8
1152,"66332186	",8,0,8
1155,"2731072181	",8,0,8
1158,"1029005944771014656	",8,0,8
1160,"979087419499663360	",8,0,8
1163,"246357149	",8,0,8
1164,"726677556	",8,0,8
1166,"407606770	",8,0,8
1168,"19078560	",8,0,8
1171,"1022683545234497536	",8,0,8
1173,"921871738027220992	",8,0,8
1176,"4088681525	",8,0,8
1178,"1874106846	",8,0,8
1184,"3031679981	",8,0,8
1192,"1678289870	",8,0,8
1194,"501220460	",8,0,8
1198,"48759424	",8,0,8
1200,"998704917601771526	",8,0,8
1201,"23677910	",8,0,8
1203,"354682355	",8,0,8
1204,"4644170814	",8,0,8
1205,"479872233	",8,0,8
1209,"988524542288187397	",8,0,8
1213,"967513628218867714	",8,0,8
1215,"1009827037568208896	",8,0,8
1217,"776178571786145793	",8,0,8
1218,"19040839	",8,0,8
1221,"25217108	",8,0,8
1223,"136164214	",8,0,8
1224,"983495718810857474	",8,0,8
1225,"34472721	",8,0,8
1228,"86830729	",8,0,8
1231,"44409040	",8,0,8
1233,"16050065	",8,0,8
1234,"21053150	",8,0,8
1239,"815798574437044224	",8,0,8
1240,"731493239836966913	",8,0,8
1241,"59060656	",8,0,8
1243,"82455956	",8,0,8
1245,"374266209	",8,0,8
1248,"1662943783	",8,0,8
1250,"34609790	",8,0,8
1253,"796524450627862529	",8,0,8
1254,"62194706	",8,0,8
1260,"466953226	",8,0,8
1262,"1252907875	",8,0,8
1263,"251118812	",8,0,8
1266,"241109025	",8,0,8
1269,"790657468560990208	",8,0,8
1272,"247100165	",8,0,8
1273,"976562816772722689	",8,0,8
1276,"41180730	",8,0,8
1277,"3224707173	",8,0,8
1280,"2309285172	",8,0,8
1282,"970495328150433794	",8,0,8
1285,"1243902714	",8,0,8
1286,"969699590709698562	",8,0,8
1289,"818573387161288705	",8,0,8
1291,"38111382	",8,0,8
1294,"938242137837199360	",8,0,8
1295,"835283718734561280	",8,0,8
1296,"1703575711	",8,0,8
1297,"2211370646	",8,0,8
1300,"108359920	",8,0,8
1302,"747865636060069888	",8,0,8
1303,"724461072325824513	",8,0,8
1309,"27943005	",8,0,8
1310,"189237956	",8,0,8
1311,"805471657422819328	",8,0,8
1313,"3092921	",8,0,8
1315,"1505926237	",8,0,8
1316,"869660647826628609	",8,0,8
1317,"738038707249287168	",8,0,8
1318,"44927531	",8,0,8
1319,"254344008	",8,0,8
1321,"3345238775	",8,0,8
1322,"49159747	",8,0,8
1323,"363814323	",8,0,8
1324,"1150120711	",8,0,8
1325,"844601832135671808	",8,0,8
1327,"812098370722529282	",8,0,8
1329,"131012155	",8,0,8
1330,"19225446	",8,0,8
1331,"1921155122	",8,0,8
1335,"33949856	",8,0,8
1336,"927793168459825152	",8,0,8
1346,"442272785	",8,0,8
1351,"2612046063	",8,0,8
1353,"743203075750453248	",8,0,8
1356,"823222333041217537	",8,0,8
1357,"4196533638	",8,0,8
1359,"949653078957023232	",8,0,8
1362,"929872507242344448	",8,0,8
1365,"898565402346827779	",8,0,8
1366,"327193460	",8,0,8
1368,"1604230496	",8,0,8
1370,"168774594	",8,0,8
1371,"788075355856773120	",8,0,8
1382,"943974193246425088	",8,0,8
1386,"123071061	",8,0,8
1389,"42961677	",8,0,8
1390,"17184213	",8,0,8
1391,"25464300	",8,0,8
1392,"781921082198597632	",8,0,8
1397,"346171723	",8,0,8
1398,"822595586050428928	",8,0,8
1401,"842813387230924810	",8,0,8
1402,"2339371028	",8,0,8
1416,"61555263	",8,0,8
1418,"2432155970	",8,0,8
1419,"121932578	",8,0,8
1420,"786260068106842112	",8,0,8
1425,"24952108	",8,0,8
1427,"21708729	",8,0,8
1429,"411083177	",8,0,8
1436,"878388861109387265	",8,0,8
1438,"818706038014607360	",8,0,8
1445,"803984530700910593	",8,0,8
1453,"374225300	",8,0,8
1454,"216336668	",8,0,8
1455,"759890626276122624	",8,0,8
1456,"823318360238723072	",8,0,8
1457,"2736737444	",8,0,8
1458,"2904520408	",8,0,8
1460,"222356933	",8,0,8
1467,"19410161	",8,0,8
1468,"58351787	",8,0,8
1469,"14860210	",8,0,8
1471,"1726702610	",8,0,8
1472,"266090983	",8,0,8
1474,"3573191833	",8,0,8
1476,"63796505	",8,0,8
1478,"1035787692	",8,0,8
1481,"4470038595	",8,0,8
1490,"824312957194551296	",8,0,8
1491,"1365990848	",8,0,8
1493,"826199999625195520	",8,0,8
1498,"2258208914	",8,0,8
1500,"2883509212	",8,0,8
1504,"911490129071456257	",8,0,8
1508,"2227462382	",8,0,8
1510,"859466674407432194	",8,0,8
1512,"27567191	",8,0,8
1513,"1525738189	",8,0,8
1521,"366280473	",8,0,8
1526,"824781238716289026	",8,0,8
1527,"330553026	",8,0,8
1530,"882821566412804096	",8,0,8
1534,"912760052	",8,0,8
1537,"300597061	",8,0,8
1539,"901268039018086401	",8,0,8
1540,"861290347007066112	",8,0,8
1544,"37131103	",8,0,8
1547,"904971474	",8,0,8
1549,"55650480	",8,0,8
1551,"872702205941383169	",8,0,8
1557,"42351212	",8,0,8
1560,"876558081026600963	",8,0,8
1561,"16302731	",8,0,8
1564,"3401329126	",8,0,8
1565,"1499766840	",8,0,8
1567,"49243001	",8,0,8
1572,"277721269	",8,0,8
1573,"21258970	",8,0,8
1576,"22205226	",8,0,8
1578,"17243703	",8,0,8
1579,"783441969276039168	",8,0,8
1580,"824972976584003584	",8,0,8
1581,"34294566	",8,0,8
1582,"117533779	",8,0,8
1584,"3351839753	",8,0,8
1586,"942605209	",8,0,8
1588,"16405069	",8,0,8
1593,"84824482	",8,0,8
1596,"443343143	",8,0,8
1597,"889162087401914369	",8,0,8
1599,"3060209151	",8,0,8
1603,"1666044660	",8,0,8
1604,"462276895	",8,0,8
1607,"123227057	",8,0,8
1608,"146160591	",8,0,8
1616,"14185448	",8,0,8
1617,"32231878	",8,0,8
1618,"884235638215716864	",8,0,8
1622,"876945607650418688	",8,0,8
1624,"231156352	",8,0,8
1626,"880615084724060160	",8,0,8
1627,"1055706595	",8,0,8
1636,"22076980	",8,0,8
1639,"879488944001343488	",8,0,8
1640,"344247978	",8,0,8
1642,"879048454009487361	",8,0,8
1643,"2750105810	",8,0,8
1644,"2174773279	",8,0,8
1646,"525731460	",8,0,8
1649,"327629269	",8,0,8
1651,"796919320832053248	",8,0,8
1656,"46799398	",8,0,8
1661,"18216939	",8,0,8
1662,"92757890	",8,0,8
1663,"708087966	",8,0,8
1665,"3252273118	",8,0,8
1666,"62272582	",8,0,8
1667,"24162364	",8,0,8
1669,"27569272	",8,0,8
1670,"2608743390	",8,0,8
1672,"16622227	",8,0,8
1673,"168919083	",8,0,8
1674,"1855861513	",8,0,8
1675,"99162774	",8,0,8
1676,"167550475	",8,0,8
1677,"858354574893219840	",8,0,8
1678,"788125256619663360	",8,0,8
1679,"229518601	",8,0,8
1680,"3218947775	",8,0,8
1683,"471688044	",8,0,8
1684,"2703556564	",8,0,8
1686,"780577023706091520	",8,0,8
1689,"719176481897730048	",8,0,8
1691,"245163462	",8,0,8
1692,"941619613	",8,0,8
1693,"817923486165372930	",8,0,8
1694,"4286702359	",8,0,8
1696,"40687982	",8,0,8
1698,"301619127	",8,0,8
1699,"17340026	",8,0,8
1700,"35463382	",8,0,8
1703,"105817776	",8,0,8
1706,"50158414	",8,0,8
1707,"903902544	",8,0,8
1709,"306422045	",8,0,8
1710,"590903329	",8,0,8
1713,"190897476	",8,0,8
1720,"433158220	",8,0,8
1722,"322921197	",8,0,8
1723,"865226519412563970	",8,0,8
1724,"867134900700184576	",8,0,8
1725,"706441436	",8,0,8
1728,"842450609055784961	",8,0,8
1729,"1450189518	",8,0,8
1731,"30250871	",8,0,8
1737,"22092017	",8,0,8
1738,"3085005586	",8,0,8
1740,"18849062	",8,0,8
1744,"210078061	",8,0,8
1746,"15276401	",8,0,8
1757,"17783085	",8,0,8
1760,"3984872717	",8,0,8
1765,"768233740942258176	",8,0,8
1769,"853745135053455360	",8,0,8
1776,"3240966374	",8,0,8
1778,"847684585697681409	",8,0,8
1779,"853060499163959296	",8,0,8
1780,"729875743988187136	",8,0,8
1781,"121336026	",8,0,8
1785,"381743591	",8,0,8
1786,"1516953673	",8,0,8
1788,"3176357272	",8,0,8
1789,"760690321474850816	",8,0,8
1794,"23104128	",8,0,8
1796,"25941400	",8,0,8
1797,"902448516	",8,0,8
1798,"4758714008	",8,0,8
1799,"267616818	",8,0,8
1803,"395697608	",8,0,8
1805,"46219137	",8,0,8
1807,"80891158	",8,0,8
1808,"790404698993860608	",8,0,8
1809,"224444559	",8,0,8
1810,"180209492	",8,0,8
1813,"93312156	",8,0,8
1815,"346782751	",8,0,8
1819,"840652540031168512	",8,0,8
1820,"3808079775	",8,0,8
1823,"3070240721	",8,0,8
1826,"66653984	",8,0,8
1827,"51330975	",8,0,8
1828,"3127075077	",8,0,8
1829,"340616322	",8,0,8
1834,"28354946	",8,0,8
1835,"822647136097566720	",8,0,8
1836,"2200221	",8,0,8
1841,"863108401	",8,0,8
1844,"216140677	",8,0,8
1847,"2318516194	",8,0,8
1848,"360894777	",8,0,8
1851,"2349128196	",8,0,8
1852,"3222286221	",8,0,8
1854,"15963558	",8,0,8
1855,"701785700908269568	",8,0,8
1858,"14111373	",8,0,8
1865,"208692908	",8,0,8
1866,"3741450375	",8,0,8
